student_id,age,gender,academic_level,avg_daily_usage_hours,most_used_platform,affects_academic_performance,sleep_hours_per_night,mental_health_score,relationship_status,conflicts_over_social_media,addicted_score,country_name,country_name_std,country_code,gdp_2024,pop_2024,gdp_2023,pop_2023,gdp_latest,pop_latest,sleep_debt,usage_bucket,yoy_gdp_pct,yoy_pop_pct
1,19,Female,Undergraduate,5.2,Instagram,Yes,6.5,6,In Relationship,3,8,Bangladesh,Bangladesh,BGD,2593.41607390407,173562364.0,2551.01773827307,171466990.0,2593.41607390407,173562364.0,1.5,Heavy,1.6620164961966073,1.222027633423786
2,22,Male,Graduate,2.1,Twitter,No,7.5,8,Single,0,3,India,India,IND,2696.66389984463,1450935791.0,2530.12031278204,1438069596.0,2696.66389984463,1450935791.0,0.5,Moderate,6.582437452528262,0.894685141511051
3,20,Female,Undergraduate,6.0,TikTok,Yes,5.0,5,Complicated,4,9,USA,United States,USA,85809.9003846356,340110988.0,82304.6204272866,336806231.0,85809.9003846356,340110988.0,3.0,Heavy,4.2589103007234,0.9812042343123991
4,18,Male,High School,3.0,YouTube,No,7.0,7,Single,1,4,UK,United Kingdom,GBR,52636.7865943853,69226000.0,49200.8101526146,68492000.0,52636.7865943853,69226000.0,1.0,Moderate,6.983576959632873,1.0716580038544647
5,21,Male,Graduate,4.5,Facebook,Yes,6.0,6,In Relationship,2,7,Canada,Canada,CAN,54282.6176051733,41288599.0,54220.3285039875,40083484.0,54282.6176051733,41288599.0,2.0,Heavy,0.11488145296135578,3.00651260753681
6,19,Female,Undergraduate,7.2,Instagram,Yes,4.5,4,Complicated,5,9,Australia,Australia,AUS,64407.484256932,27204809.0,64835.9199754535,26652777.0,64407.484256932,27204809.0,3.5,Extreme,-0.6607999372627101,2.071198809790064
7,23,Male,Graduate,1.5,LinkedIn,No,8.0,9,Single,0,2,Germany,Germany,DEU,55800.2194549412,83510950.0,53940.4073447462,83901923.0,55800.2194549412,83510950.0,0.0,Light,3.4479014930467478,-0.4659881275903533
8,20,Female,Undergraduate,5.8,Snapchat,Yes,6.0,6,In Relationship,2,8,Brazil,Brazil,BRA,10280.3148624429,211998573.0,10377.5892792557,211140729.0,10280.3148624429,211998573.0,2.0,Heavy,-0.9373508065813312,0.4062901573101986
9,18,Male,High School,4.0,TikTok,No,6.5,7,Single,1,5,Japan,Japan,JPN,32475.8924992191,123975371.0,33836.1756271617,124516650.0,32475.8924992191,123975371.0,1.5,Moderate,-4.020203532844426,-0.43470411386750285
10,21,Female,Graduate,3.3,Instagram,No,7.0,7,In Relationship,1,4,South Korea,"Korea, Rep.",KOR,,51751065.0,33121.3712885508,51712619.0,33121.3712885508,51751065.0,1.0,Moderate,,0.07434549002439811
11,19,Male,Undergraduate,4.8,Snapchat,Yes,6.2,5,Complicated,3,7,France,France,FRA,46150.4876861593,68516699.0,44690.9345395117,68287487.0,46150.4876861593,68516699.0,1.7999999999999998,Heavy,3.265881910250046,0.3356573950363703
12,20,Female,Undergraduate,5.5,TikTok,Yes,5.8,6,In Relationship,2,8,Spain,Spain,ESP,35297.0094995565,48807137.0,33509.0127982139,48347910.0,35297.0094995565,48807137.0,2.2,Heavy,5.335868030817975,0.9498383694352042
13,22,Male,Graduate,2.8,LinkedIn,No,7.2,8,Single,1,4,Italy,Italy,ITA,40226.0472416173,58986023.0,39065.4244365633,58993475.0,40226.0472416173,58986023.0,0.7999999999999998,Moderate,2.970971957411311,-0.012631905477682065
14,18,Female,High School,6.5,Instagram,Yes,5.5,5,Single,4,9,Mexico,Mexico,MEX,14157.9445835849,130861007.0,13826.1306570122,129739759.0,14157.9445835849,130861007.0,2.5,Extreme,2.3999044620948546,0.864228520726634
15,21,Male,Undergraduate,3.7,YouTube,No,6.8,7,In Relationship,2,5,Russia,Russian Federation,RUS,14889.0185546875,143533851.0,14159.3876953125,143826130.0,14889.0185546875,143533851.0,1.2000000000000002,Moderate,5.152983130877517,-0.2032168980699126
16,20,Female,Undergraduate,4.2,TikTok,Yes,6.0,6,Complicated,3,7,China,China,CHN,13303.1481543868,1408975000.0,12951.1782397043,1410710000.0,13303.1481543868,1408975000.0,2.0,Heavy,2.7176671355156548,-0.12298771540571768
17,24,Male,Graduate,2.0,LinkedIn,No,7.8,8,Single,0,3,Sweden,Sweden,SWE,57723.2345031532,10569709.0,55567.0890080496,10536632.0,57723.2345031532,10569709.0,0.20000000000000018,Light,3.8802563416472187,0.31392384207781004
